128 /  1,5
118,0954 /  0
118,5648 /  0
119,0128 /  0
119,5034 /  0
119,9728 /  0
121,1674 /  0
121,4021 /  0
122,0421 /  0
122,7461 /  0
123,4928 /  0
124,4741 /  2,922653
127,8021 /  0
128,2714 /  0
128,7408 /  0
128,9541 /  0
129,5088 /  0
130,2554 /  0
131,0021 /  0
131,2581 /  0
132,3461 /  0
132,5808 /  0
133,1141 /  0
133,6048 /  0
134,1168 /  0
134,5648 /  0
135,0554 /  0
136,1221 /  0
136,3781 /  0
137,0394 /  0
137,8288 /  0
138,5541 /  0
139,4501 /  3,34935
143,2261 /  0
143,6954 /  0
143,9514 /  0
144,5274 /  0
144,7621 /  0
145,2954 /  0
145,7648 /  0
146,2554 /  0
146,4901 /  0
147,0234 /  0
147,2154 /  0
147,4501 /  0
147,6634 /  0
147,8981 /  0
148,1114 /  0
148,6021 /  0
149,0928 /  0
149,3274 /  0
149,7754 /  0
150,0101 /  0
150,6928 /  0
150,9274 /  0
151,1834 /  0
151,3754 /  0
151,7168 /  0
151,9514 /  0
152,1648 /  0
152,3781 /  0
152,8474 /  0
153,2741 /  0
153,8288 /  0
154,0208 /  0
154,4901 /  0
154,7034 /  0
154,9594 /  0
155,1514 /  0
155,3861 /  0
155,6208 /  0
156,0901 /  0
156,5808 /  0
156,8154 /  0
157,3274 /  0
157,5408 /  0
158,2661 /  0
158,4581 /  0
158,6928 /  0
159,1834 /  0
159,3968 /  0
159,6528 /  0
159,8234 /  0
160,2928 /  0
160,7834 /  0
161,2741 /  0
161,4661 /  0
162,0208 /  0
162,2554 /  0
162,4688 /  0
162,6394 /  0
162,8741 /  0
163,0874 /  0
163,6208 /  0
164,0901 /  0
164,3034 /  0
164,8154 /  0
165,0287 /  0
165,7114 /  0
165,9248 /  0
166,1381 /  0
166,7141 /  0
166,9274 /  0
167,1408 /  0
167,3541 /  0
167,8234 /  0
168,2714 /  0
168,7408 /  0
168,9754 /  0
169,5088 /  0
169,9354 /  0
170,1274 /  0
170,3408 /  0
170,5541 /  0
171,0234 /  0
171,5354 /  0
171,7487 /  0
172,3034 /  0
172,5168 /  0
173,1994 /  0
173,4768 /  0
173,6901 /  0
174,2021 /  0
174,3941 /  0
174,6288 /  0
174,8634 /  0
175,3114 /  0
175,7594 /  0
176,2928 /  0
176,5061 /  0
177,0181 /  0
177,2314 /  0
177,4661 /  0
177,6581 /  0
177,9141 /  0
178,5114 /  0
179,0448 /  0
179,2581 /  0
179,7487 /  0
180,0048 /  0
180,7088 /  0
180,9221 /  0
181,1781 /  0
181,6901 /  0
181,9248 /  0
182,1594 /  0
182,3728 /  0
182,8634 /  0
183,3114 /  0
183,7808 /  0
183,9728 /  0
184,5061 /  0
184,7408 /  0
184,9754 /  0
185,2101 /  0
185,4021 /  0
185,6581 /  0
186,0848 /  0
186,5541 /  0
186,7888 /  0
187,2794 /  0
187,4928 /  0
188,1968 /  0
188,6448 /  0
188,9008 /  0
189,6474 /  0
190,3087 /  0
190,5434 /  0
191,0128 /  0
191,2474 /  0
192,4208 /  0
193,1674 /  0
193,3808 /  0
193,8501 /  0
194,0848 /  0
194,7248 /  0
194,9594 /  0
196,1541 /  0
196,4954 /  0
196,9221 /  0
197,6048 /  0
197,8394 /  0
198,5434 /  0
198,7568 /  0
199,6314 /  0
200,3781 /  0
200,6128 /  0
200,8261 /  0
201,5941 /  0
202,3194 /  0
